date,btc,ltc,xrp,sp,gold,bond,vix,,,,,
2015-01-21,210.55,1.31,0.0175,2032.12,701.49,398.96,18.85,,,,,
2015-01-22,228.17,1.36,0.0152,2063.15,705.28,398.47,16.4,,,,,
2015-01-23,232.7,1.41,0.016,2051.82,700.9,400.42,16.66,,,,,
2015-01-26,252.09,2.22,0.017,2057.09,693.75,400.44,15.52,,,,,
2015-01-27,269.18,2.06,0.0147,2029.55,700.52,400.48,17.22,,,,,
2015-01-28,263.27,2.08,0.0155,2002.16,697.43,402.98,20.44,,,,,
2015-01-29,236.17,1.93,0.015,2021.25,680.47,402.26,18.76,,,,,
2015-01-30,233.99,1.89,0.0135,1994.99,693.1,403.87,20.97,,,,, 
2015-02-02,225.29,1.84,0.015,2020.85,691.85,404.12,19.43,,,,,
2015-02-03,238.86,1.78,0.0133,2050.03,682.86,401.8,17.33,,,,,
2015-02-04,227.41,1.83,0.0148,2041.51,685.13,401.75,18.33,,,,,
2015-02-05,226.58,1.8,0.014,2062.52,684.16,401.43,16.85,,,,,
2015-02-06,216.52,1.739,0.0157,2055.47,668.93,399.16,17.29,,,,,
2015-02-09,223.67,1.78,0.0143,2046.74,672.67,399.18,18.55,,,,,
2015-02-10,220.34,1.73,0.0135,2068.59,667.63,398.25,17.23,,,,,
2015-02-11,219.67,1.757,0.0146,2068.53,660.81,398.42,16.96,,,,,
2015-02-12,218.83,1.729,0.0146,2088.48,661.4,398.62,15.34,,,,,
2015-02-13,221.79,1.749,0.0143,2096.99,664.87,397.76,14.69,,,,,
2015-02-17,235.83,1.799,0.0151,2100.34,654.85,395.53,15.8,,,,,
2015-02-18,243.2,1.849,0.013,2099.68,650.3,397.33,15.45,,,,,
2015-02-19,235.2,1.809,0.015,2097.45,654.31,396.66,15.29,,,,,
2015-02-20,241.92,1.848,0.0131,2110.3,652.85,396.51,14.3,,,,,
2015-02-23,235.73,1.794,0.0131,2109.66,650.63,398.66,14.56,,,,,
2015-02-24,238.82,1.808,0.014,2115.48,648.73,400.4,13.69,,,,,
2015-02-25,238.89,1.818,0.0134,2113.86,651.01,400.91,13.84,,,,,
2015-02-26,237.33,1.799,0.014,2110.74,655.67,399.9,13.91,,,,,
2015-02-27,236.53,1.809,0.013,2104.5,657.29,400.39,13.34,,,,,
2015-03-02,257.94,1.875,0.011,2117.39,654.64,398.44,13.04,,,,,
2015-03-03,273.75,1.915,0.0066,2107.78,652.58,397.83,13.86,,,,,
2015-03-04,280.65,1.939,0.0085,2098.53,650.68,397.78,14.23,,,,,
2015-03-05,271.92,1.928,0.012,2101.04,648.14,398.19,14.04,,,,,
2015-03-06,275.23,1.909,0.012,2071.26,630.85,395.25,15.2,,,,,
2015-03-09,274.49,1.89,0.0098,2079.43,632.04,396.3,15.06,,,,,
2015-03-10,290.02,1.939,0.0098,2044.16,628.56,397.59,16.69,,,,,
2015-03-11,291.37,2.007,0.0095,2040.24,623.41,398.04,16.87,,,,,
2015-03-12,295.6,2.016,0.0077,2065.95,624.12,398.14,15.42,,,,,
2015-03-13,293.85,2.039,0.0108,2053.4,624.33,397.61,16,,,,,
2015-03-16,284.88,2.008,0.0106,2081.19,624.71,397.68,15.61,,,,,
2015-03-17,290.41,2.029,0.0105,2074.28,622.01,398.34,15.66,,,,,
2015-03-18,285.38,1.986,0.0105,2099.5,623.63,400.71,13.97,,,,,
2015-03-19,255.92,1.736,0.0102,2089.27,633.27,400.35,14.07,,,,,
2015-03-20,260.93,1.75,0.0109,2108.1,641.71,401.42,13.02,,,,,
2015-03-23,268.57,1.79,0.01,2104.42,643.34,401.61,13.41,,,,,
2015-03-24,265.46,1.77,0.0097,2091.5,645.34,402.63,13.62,,,,,
2015-03-25,246.72,1.645,0.0099,2061.05,648.54,401.59,15.44,,,,,
2015-03-26,246.37,1.664,0.0092,2056.15,652.71,399.35,15.8,,,,,
2015-03-27,248.02,1.688,0.0085,2061.02,650,401.16,15.07,,,,,
2015-03-30,242.08,1.649,0.0081,2086.24,641.67,400.89,14.51,,,,,
2015-03-31,246.79,1.67,0.0082,2067.89,640.53,401.5,15.29,,,,,
2015-04-01,244.15,1.649,0.0077,2059.69,654.06,403.11,15.11,,,,,
2015-04-02,246.24,1.66,0.0079,2066.96,650.11,402.39,14.67,,,,,
2015-04-06,259.64,1.672,0.0088,2080.62,659.7,402.38,14.74,,,,,
2015-04-07,254.97,1.644,0.0088,2076.33,655.37,403.22,14.78,,,,,
2015-04-08,252.97,1.666,0.0091,2081.9,651.31,403.52,13.98,,,,,
2015-04-09,244.57,1.62,0.0092,2091.18,646.16,401.91,13.09,,,,,
2015-04-10,243.32,1.58,0.0092,2102.06,652.12,402.27,12.58,,,,,
2015-04-13,235.85,1.459,0.008,2092.43,649.25,402.69,13.94,,,,,
2015-04-14,223.59,1.362,0.0083,2095.84,645.62,403.45,13.67,,,,,
2015-04-15,217.99,1.379,0.0083,2106.63,650.33,403.5,12.84,,,,,
2015-04-16,222.97,1.38,0.0083,2104.99,648.55,403.84,12.6,,,,,
2015-04-17,227.98,1.409,0.0083,2081.18,651.31,404.6,13.89,,,,,
2015-04-20,223.02,1.384,0.0115,2100.4,646.22,403.38,13.3,,,,,
2015-04-21,224.24,1.393,0.0036,2097.29,651.31,403.07,13.25,,,,,
2015-04-22,233.73,1.423,0.004,2107.96,642.54,401.67,12.71,,,,,
2015-04-23,233.78,1.458,0.0082,2112.93,646.55,402.15,12.48,,,,,
2015-04-24,235.4,1.448,0.0083,2117.69,636.1,402.77,12.29,,,,,
2015-04-27,218.7,1.32,0.0078,2108.92,651.37,402.75,13.12,,,,,
2015-04-28,228.96,1.378,0.0081,2114.76,657.16,401.31,12.41,,,,,
2015-04-29,225.81,1.362,0.0077,2106.85,655.05,399.46,13.39,,,,,
2015-04-30,225.42,1.364,0.0076,2085.51,640.11,398.95,14.55,,,,,
2015-05-01,235.77,1.432,0.0085,2108.29,635.83,397.33,12.7,,,,,
2015-05-04,239.99,1.432,0.0078,2114.49,642.49,396.77,12.85,,,,,
2015-05-05,238.97,1.411,0.0082,2089.46,645.96,395.88,14.31,,,,,
2015-05-06,235.82,1.402,0.0078,2080.15,644.39,394.3,15.15,,,,,
2015-05-07,230.03,1.391,0.0077,2088,640,395.63,15.13,,,,,
2015-05-08,237.73,1.462,0.0078,2116.1,643.63,396.29,12.86,,,,,
2015-05-11,239.96,1.431,0.0067,2105.33,640.42,393.57,13.85,,,,,
2015-05-12,241.81,1.44,0.0075,2099.12,645.5,393.89,13.86,,,,,
2015-05-13,241.58,1.441,0.0075,2098.48,659.46,393.41,13.76,,,,,
2015-05-14,236.38,1.439,0.0067,2121.1,663.25,393.96,12.74,,,,,
2015-05-15,236.9,1.442,0.0075,2122.73,663.3,396.49,12.38,,,,,
2015-05-18,236.3,1.45,0.0065,2129.2,664.55,394.58,12.73,,,,,
2015-05-19,232.64,1.44,0.0061,2127.83,653.24,393.74,12.85,,,,,
2015-05-20,232.02,1.45,0.0046,2125.85,654.38,393.5,12.88,,,,,
2015-05-21,233.96,1.45,0.005,2130.82,651.84,394.88,12.11,,,,,
2015-05-22,235.38,1.471,0.005,2126.06,651.73,394,12.13,,,,,
2015-05-26,237.41,1.796,0.0072,2104.2,642.48,396.21,14.06,,,,,
2015-05-27,237.84,1.811,0.0072,2123.48,641.78,396.29,13.27,,,,,
2015-05-28,237.29,1.842,0.015,2120.79,643.02,396.17,13.31,,,,,
2015-05-29,237.32,1.832,0.0055,2107.39,643.56,396.81,13.84,,,,,
2015-06-01,229.84,1.63,0.009,2111.73,642.97,394.39,13.97,,,,,
2015-06-02,223.14,1.611,0.0078,2109.6,646.05,392.67,14.24,,,,,
2015-06-03,225.74,1.661,0.0056,2114.07,640.91,390.82,13.66,,,,,
2015-06-04,225.59,1.672,0.0085,2095.84,635.67,392.22,14.71,,,,,
2015-06-05,224.22,1.661,0.0089,2092.83,631.83,390.27,14.21,,,,,
2015-06-08,223.47,1.732,0.0089,2079.28,634.8,390.68,15.29,,,,,
2015-06-09,228.57,1.781,0.0056,2080.15,636.97,389.57,14.47,,,,,
2015-06-10,229.56,1.797,0.0081,2105.2,641.83,388.24,13.22,,,,,
2015-06-11,228.79,1.752,0.0081,2108.86,638.48,390.41,12.85,,,,,
2015-06-12,229.88,1.791,0.0081,2094.11,637.83,390.31,13.78,,,,,
2015-06-15,233.75,1.993,0.008,2084.43,641.4,390.59,15.39,,,,,
2015-06-16,237,2.008,0.0084,2096.29,638.75,391.18,14.81,,,,,
2015-06-17,249.82,2.832,0.015,2100.44,636.54,391.23,14.5,,,,,
2015-06-18,247.38,2.852,0.0098,2121.24,650.17,390.1,13.19,,,,,
2015-06-19,248.44,3.087,0.0114,2109.99,650.11,391.87,13.96,,,,,
2015-06-22,244.1,3.014,0.01,2122.85,640.49,389.87,12.74,,,,,
2015-06-23,247.46,3.019,0.0103,2124.2,636.43,388.92,12.11,,,,,
