,회사명,상장번호
0,AJ네트웍스,095570
1,AK홀딩스,006840
2,BGF,027410
3,BGF리테일,282330
4,BNK금융지주,138930
5,BYC,001460
6,BYC우,001465
7,CJ,001040
8,CJ CGV,079160
9,CJ4우(전환),00104K
10,CJ대한통운,000120
11,CJ씨푸드,011150
12,CJ씨푸드1우,011155
13,CJ우,001045
14,CJ제일제당,097950
15,CJ제일제당 우,097955
16,CS홀딩스,000590
17,DB,012030
18,DB금융투자,016610
19,DB손해보험,005830
20,DB하이텍,000990
21,DB하이텍1우,000995
22,DGB금융지주,139130
23,DI동일,001530
24,DL,000210
25,DL건설,001880
26,DL우,000215
27,DL이앤씨,375500
28,DL이앤씨우,37550K
29,DRB동일,004840
30,DSR,155660
31,DSR제강,069730
32,E1,017940
33,ESR켄달스퀘어리츠,365550
34,F&F,007700
35,GKL,114090
36,GS,078930
37,GS건설,006360
38,GS글로벌,001250
39,GS리테일,007070
40,GS우,078935
41,HDC,012630
42,HDC아이콘트롤스,039570
43,HDC현대EP,089470
44,HDC현대산업개발,294870
45,HMM,011200
46,HSD엔진,082740
47,IHQ,003560
48,JB금융지주,175330
49,JW생명과학,234080
50,JW중외제약,001060
51,JW중외제약2우B,001067
52,JW중외제약우,001065
53,JW홀딩스,096760
54,KB금융,105560
55,KCC,002380
56,KCTC,009070
57,KC그린홀딩스,009440
58,KC코트렐,119650
59,KEC,092220
60,KG동부제철,016380
61,KG동부제철우,016385
62,KG케미칼,001390
63,KH 필룩스,033180
64,KISCO홀딩스,001940
65,KPX케미칼,025000
66,KPX홀딩스,092230
67,KR모터스,000040
68,KSS해운,044450
69,KT,030200
70,KT&G,033780
71,KTB투자증권,030210
72,KTcs,058850
73,KTis,058860
74,LF,093050
75,LG,003550
76,LG디스플레이,034220
77,LG상사,001120
78,LG생활건강,051900
79,LG생활건강우,051905
80,LG우,003555
81,LG유플러스,032640
82,LG이노텍,011070
83,LG전자,066570
84,LG전자우,066575
85,LG하우시스,108670
86,LG하우시스우,108675
87,LG헬로비전,037560
88,LG화학,051910
89,LG화학우,051915
90,LIG넥스원,079550
91,LS,006260
92,LS ELECTRIC,010120
93,LS네트웍스,000680
94,LS전선아시아,229640
95,MH에탄올,023150
96,NAVER,035420
97,NHN,181710
