,회사명,상장번호
0,AJ네트웍스,095570
1,AK홀딩스,006840
2,BGF,027410
3,BGF리테일,282330
4,BNK금융지주,138930
5,BYC,001460
6,BYC우,001465
7,CJ,001040
8,CJ CGV,079160
9,CJ4우(전환),00104K
10,CJ대한통운,000120
11,CJ씨푸드,011150
12,CJ씨푸드1우,011155
13,CJ우,001045
14,CJ제일제당,097950
15,CJ제일제당 우,097955
16,CS홀딩스,000590
17,DB,012030
18,DB금융투자,016610
19,DB손해보험,005830
20,DB하이텍,000990
21,DB하이텍1우,000995
22,DGB금융지주,139130
23,DI동일,001530
24,DL,000210
25,DL우,000215
26,DL이앤씨,375500
27,DL이앤씨우,37550K
28,DRB동일,004840
29,DSR,155660
30,DSR제강,069730
31,E1,017940
32,ESR켄달스퀘어리츠,365550
33,F&F,007700
34,GKL,114090
35,GS,078930
36,GS건설,006360
37,GS글로벌,001250
38,GS리테일,007070
39,GS우,078935
40,HDC,012630
41,HDC아이콘트롤스,039570
42,HDC현대EP,089470
43,HDC현대산업개발,294870
44,HMM,011200
45,HSD엔진,082740
46,IHQ,003560
47,JB금융지주,175330
48,JW생명과학,234080
49,JW중외제약,001060
50,JW중외제약2우B,001067
51,JW중외제약우,001065
52,JW홀딩스,096760
53,KB금융,105560
54,KCC,002380
55,KCTC,009070
56,KC그린홀딩스,009440
57,KC코트렐,119650
58,KEC,092220
59,KG동부제철,016380
60,KG동부제철우,016385
61,KG케미칼,001390
62,KISCO홀딩스,001940
63,KPX케미칼,025000
64,KPX홀딩스,092230
65,KR모터스,000040
66,KSS해운,044450
67,KT,030200
68,KT&G,033780
69,KTB투자증권,030210
70,KTcs,058850
71,KTis,058860
72,LF,093050
73,LG,003550
74,LG디스플레이,034220
75,LG상사,001120
76,LG생활건강,051900
77,LG생활건강우,051905
78,LG우,003555
79,LG유플러스,032640
80,LG이노텍,011070
81,LG전자,066570
82,LG전자우,066575
83,LG하우시스,108670
84,LG하우시스우,108675
85,LG헬로비전,037560
86,LG화학,051910
87,LG화학우,051915
88,LIG넥스원,079550
89,LS,006260
90,LS ELECTRIC,010120
91,LS네트웍스,000680
92,LS전선아시아,229640
93,MH에탄올,023150
94,NAVER,035420
95,NHN,181710
96,NH투자증권,005940
97,NH투자증권우,005945
